repository,cbo_median,cbo_mean,dit_median,dit_mean,lcom_median,lcom_mean,loc_sum
--,2.0,3.541921483527323,2.0,2.910830538567765,0.0,440.4263168277767,338075
1brc,3.0,3.1666666666666665,1.0,1.09,1.0,7.58,53431
ActionBarSherlock,4.0,6.283372365339578,1.0,1.9508196721311475,0.0,63.39812646370024,26463
ActiveAndroid,3.0,5.435483870967742,1.0,1.7419354838709677,3.0,22.080645161290324,3158
Activiti,4.0,5.8018784854710885,1.0,1.5309656589374816,1.0,89.40710302318756,155575
advanced-java,0.0,0.0,1.0,1.0,0.0,0.0,5
Aegis,5.0,7.447136563876652,1.0,1.7092511013215859,1.0,22.865638766519822,24021
aeron,4.0,7.804878048780488,1.0,1.298780487804878,0.0,114.29649390243902,122349
AgentWeb,3.0,5.3984375,1.0,1.48828125,0.0,18.79296875,11320
agera,4.0,6.327586206896552,1.0,1.2413793103448276,0.0,14.844827586206897,10897
ahbottomnavigation,2.0,5.108695652173913,1.0,1.173913043478261,0.0,57.47826086956522,2339
Algorithms,2.0,2.611231101511879,1.0,1.0539956803455723,3.0,16.19654427645788,32495
algs4,4.0,4.003584229390681,1.0,1.021505376344086,0.0,47.46953405017921,22522
allure2,4.0,6.059479553903346,1.0,1.304832713754647,1.0,11.602230483271375,8061
alluxio,5.0,6.906630245840576,1.0,1.4834864663521232,1.0,30.658803079215296,252449
AmazeFileManager,4.0,7.3047404063205414,1.0,1.4492099322799097,0.0,28.839729119638825,31851
analysis-ik,4.0,4.815789473684211,1.0,1.368421052631579,2.5,14.973684210526315,2502
andOTP,3.0,6.108433734939759,1.0,1.5,0.0,41.41566265060241,8443
AndPermission,3.0,3.994047619047619,1.0,1.1666666666666667,0.0,7.488095238095238,4486
AndResGuard,2.0,3.5303030303030303,1.0,1.5,1.5,22.37878787878788,6506
android-advancedrecyclerview,4.0,6.60506329113924,2.0,2.4075949367088607,0.0,32.02278481012658,20692
android-async-http,4.0,5.662337662337662,1.0,1.7857142857142858,3.0,45.87662337662338,7620
android-autofittextview,4.0,5.375,1.0,1.375,1.5,40.75,470
Android-BluetoothKit,2.0,4.074688796680498,1.0,1.2406639004149378,0.0,18.70124481327801,8347
Android-Bootstrap,3.0,6.962025316455696,1.0,1.6708860759493671,2.0,31.39240506329114,10389
android-classyshark,2.0,3.169811320754717,1.0,1.278301886792453,1.0,10.25,8714
Android-CleanArchitecture,4.0,5.142857142857143,1.0,1.4285714285714286,1.0,6.723809523809524,2260
android-common,3.0,4.4363636363636365,1.0,1.2454545454545454,1.0,43.06363636363636,6707
Android-ConvenientBanner,3.0,4.827586206896552,1.0,1.4482758620689655,1.0,7.793103448275862,848
